,,0
75,19,5122463.0
90,26,5098507.0
-2,53,5095830.0
118,33,5087449.0
34,-1,5052904.0
84,27,5049587.0
117,33,5042671.0
77,9,5028629.0
-72,42,5014174.0
119,26,5013930.0
74,30,5006506.0
112,22,4972452.0
2,41,4958310.0
117,37,4944613.0
4,51,4937992.0
-76,6,4916354.0
113,28,4915737.0
38,7,4914890.0
33,0,4857540.0
120,28,4853770.0
117,32,4827171.0
112,30,4815488.0
79,18,4807662.0
77,23,4805392.0
-73,18,4790816.0
32,39,4772646.0
106,31,4735777.0
108,22,4735421.0
68,27,4705361.0
73,23,4696120.0
107,30,4695237.0
13,52,4687776.0
7,11,4672014.0
114,23,4658308.0
127,36,4656493.0
74,34,4652339.0
66,24,4647565.0
86,21,4637943.0
112,23,4623234.0
30,-2,4582849.0
68,25,4570043.0
120,24,4546405.0
129,35,4530631.0
74,23,4528071.0
9,4,4514375.0
102,25,4493799.0
27,38,4491453.0
-39,-13,4490845.0
-74,45,4478975.0
44,14,4462480.0
110,-7,4460203.0
112,29,4458718.0
80,28,4451141.0
122,41,4444049.0
28,-26,4443926.0
125,7,4438873.0
-67,10,4437604.0
113,29,4432073.0
75,27,4427371.0
72,40,4425309.0
77,30,4416168.0
44,13,4393763.0
-78,-13,4386505.0
119,25,4380950.0
74,20,4367383.0
140,35,4367230.0
35,33,4357894.0
-70,18,4353759.0
69,41,4352092.0
107,31,4351358.0
74,19,4348253.0
75,23,4347851.0
83,18,4345950.0
121,24,4339074.0
30,59,4324872.0
23,-7,4321862.0
83,24,4307368.0
79,13,4299757.0
81,24,4291509.0
70,28,4289472.0
78,18,4287148.0
79,23,4282552.0
-123,37,4274847.0
119,34,4265332.0
-48,-23,4258972.0
76,8,4250096.0
77,26,4248181.0
-84,42,4246886.0
76,18,4240351.0
115,30,4219259.0
75,14,4216586.0
14,40,4214292.0
30,-3,4203366.0
116,28,4200717.0
-123,47,4179806.0
-5,5,4171946.0
-2,12,4169339.0
77,19,4162076.0
113,-8,4143202.0
87,21,4140912.0
75,21,4138921.0
4,52,4138699.0
-85,33,4135744.0
71,32,4134501.0
75,15,4134061.0
120,22,4132559.0
8,49,4121561.0
74,22,4120995.0
44,15,4113998.0
105,-6,4113182.0
-18,14,4110482.0
105,9,4099220.0
125,38,4091398.0
117,24,4074015.0
76,31,4063968.0
76,26,4061337.0
12,41,4053108.0
100,14,4039466.0
104,11,4029264.0
106,21,4026457.0
51,32,4022888.0
78,25,4002906.0
70,29,4000187.0
118,25,3999237.0
4,50,3998989.0
-77,3,3998982.0
122,40,3996309.0
82,21,3989650.0
111,29,3989106.0
73,21,3982571.0
30,-30,3974245.0
120,23,3972204.0
75,32,3967600.0
109,22,3943895.0
119,29,3939535.0
35,-16,3933230.0
70,22,3932709.0
76,15,3929349.0
-80,-3,3922988.0
30,27,3896989.0
115,-9,3881642.0
84,19,3880542.0
79,17,3869086.0
77,20,3861983.0
111,30,3860729.0
105,19,3843061.0
117,38,3835262.0
10,36,3809739.0
7,9,3808132.0
-90,13,3795439.0
8,50,3794165.0
77,18,3793158.0
104,28,3785982.0
71,40,3785167.0
115,29,3773512.0
109,-7,3769123.0
117,28,3761709.0
47,-19,3746287.0
59,36,3740845.0
112,33,3739501.0
75,17,3732835.0
36,33,3731086.0
74,17,3728155.0
104,27,3727013.0
70,21,3726751.0
-119,33,3720693.0
11,3,3719800.0
6,4,3709155.0
35,-1,3705286.0
-78,38,3699507.0
5,51,3698052.0
79,25,3674109.0
-39,-4,3670535.0
-92,14,3669335.0
113,-9,3661654.0
29,31,3657902.0
9,48,3655494.0
77,17,3637508.0
18,-34,3637315.0
117,30,3635754.0
-50,-26,3629238.0
29,0,3625276.0
111,26,3624010.0
36,32,3621618.0
29,41,3608272.0
122,10,3603434.0
7,12,3600916.0
32,-26,3591921.0
72,29,3587179.0
30,50,3586513.0
39,11,3582091.0
116,-9,3580828.0
76,20,3579262.0
36,-1,3573538.0
82,22,3571369.0
73,20,3571004.0
74,26,3570366.0
3,50,3569200.0
28,-3,3565015.0
37,8,3562342.0
78,13,3560033.0
-77,-13,3558276.0
75,12,3556636.0
-76,40,3554395.0
111,35,3547153.0
114,27,3539238.0
115,39,3539179.0
107,34,3533872.0
37,11,3532142.0
105,28,3525443.0
90,25,3525325.0
106,27,3523600.0
-73,19,3518259.0
119,35,3515450.0
72,24,3507551.0
36,7,3497260.0
76,19,3494545.0
71,31,3484716.0
76,17,3479345.0
103,29,3479319.0
74,33,3468857.0
116,31,3467887.0
75,25,3463853.0
37,10,3463509.0
39,8,3461921.0
74,18,3461733.0
73,24,3461533.0
70,32,3460870.0
83,21,3458920.0
106,11,3458599.0
-97,32,3453034.0
123,13,3452953.0
75,16,3435542.0
113,31,3432041.0
110,23,3431952.0
-82,28,3429413.0
5,13,3427507.0
109,24,3424745.0
103,36,3419248.0
74,21,3410797.0
33,-14,3407592.0
77,16,3403990.0
8,9,3400844.0
116,30,3393325.0
116,29,3389875.0
-52,-30,3388555.0
118,37,3386165.0
121,13,3383040.0
73,26,3380082.0
8,47,3372445.0
91,25,3363523.0
87,43,3361542.0
82,24,3356586.0
73,29,3353147.0
-79,-1,3351719.0
119,-6,3347460.0
-76,39,3344539.0
75,28,3340742.0
114,25,3339680.0
37,6,3334967.0
33,1,3333567.0
112,35,3332726.0
113,36,3328884.0
70,30,3311229.0
11,48,3310039.0
26,44,3304342.0
50,26,3298096.0
45,2,3292117.0
114,31,3291019.0
-81,26,3283894.0
28,-16,3278853.0
50,35,3276147.0
105,11,3272749.0
105,26,3269047.0
-101,20,3265505.0
75,20,3264611.0
-68,10,3259160.0
84,22,3258547.0
-77,39,3252119.0
82,17,3251220.0
110,35,3250749.0
100,-1,3244047.0
111,22,3243579.0
105,27,3240210.0
120,16,3238467.0
124,7,3236024.0
76,23,3230652.0
41,9,3229052.0
